Проверка	Комментарий
Поле ввода "Имя" (обязательное поле)	
Ввести имя 	Sergei
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы и латиницы и отправить заявку	Ж, J
Ввести имя в верхнем регистре и отправить заявку	SERGEI
Ввести  двойное имя и отправить заявку	Анна-Мария
Ввести имя через пробел и отправить заявку	Мих аил
Ввести комбинированное имя и отправить заявку	Gennадий
Ввести имя на кирилице и отправить заявку	Сергей
Ввести цифры и отправить заявку	123456789
Ввести спецсимволы и отправить заявку	!"№;%:?*(/
Уменьшительное 	Аннушка
Длинное имя	Аполлинария
Короткое имя	Ян
Редкое имя	Клавдия/Ярополк
Непонятный род	Саша
Проверить род имени м/ж	Александр(а)
Ввести большое колличество слов и отправить заявку	1000 символов

Поле ввода "Email" (обязательное поле)	
Ввести валидный адрес 	order22@gmail.com
Ничего не вводить	
Ввести пробел	Клавиша на клавиатуре
Ввести валадный адрес на кирилице	заказ22@гмаил.ком
Ввести комбинированный Email	order22@гугл.com

Имя Email	
Не вводить только имя	@gmail.com
Ввести пробел вместо имени	 @gmail.com
Ввести 1 букву на латинице	J@gmail.com
Ввести имя через пробел	or der22@gmail.com
Ввести только цифры	22@gmail.com
Ввести спецсимволы 	!"№№;;%:gmail.com
Ввести имя на кирилице	заказ22@gmail.com
Ввести большое количество символов	1000 символов

@	
Ничего не вводить	order22gmail.com
Ввести пробел	Клавиша на клавиатуре
Ввести два символа @@	order22@@gmail.com
Хост	
Ничего не вводить	order22@com
Ввести пробел	order22@ com
Ввести 1 букву на кирилице	order22@г.com
Ввести 1 букву на латинице	order22@g.com
Ввести хост через пробел	order22@gma il.com
Ввести только цифры	order22@12345678.com
Ввести только спецсимволы	order22@!#$%^&*(.com

Домен	
Ничего не вводить	order22@gmail.
Ввести пробел	order22@gmail  .com
Ввести 1 букву на латинице	order22@gmail.c
Ввести домен два раза	order22@gmail.com.com
Ввести только цифры	order22@gmail.12345
Ввести спецсимволы 	order22@gmail.!"№;%
Ввести без точки	order22@gmailcom
Ввести на кирилице	order22@gmail.ком

Поле ввода "Password"	
Ввести пароль 	Montenegro20
Ничего не вводить	
Ввести пробел	Клавиша на клавиатуре
Ввести валидный пароль через пробел	Monte negro20
Ввести 5 символов 	Mon12
Ввести 6 символов 	Mont12
Ввести 9 символов 	Montene12
Ввести 12 символов 	Montenegro12
Ввести 13 символов 	Montenegro123
Ввести только буквы латиницы	Montenegro
Ввести только буквы кирилицы	Монтенегро
Ввести только цифры 	12345678
Ввести только спецсимволы	!@#$%^&*()
Ввести комбинацию латиница + кирилица	Monteнегро2024

Проверки внутри учетной записи	
Поле ввода "NAME"	
Ввести имя 	Sergei
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы и латиницы и отправить заявку	Ж, J
Ввести имя в верхнем регистре и отправить заявку	SERGEI
Ввести  двойное имя и отправить заявку	Анна-Мария
Ввести имя через пробел и отправить заявку	Анна Мария
Ввести комбинированное имя и отправить заявку	Анна-Maria
Ввести имя на кирилице и отправить заявку	Сергей
Ввести цифры и отправить заявку	123456789
Ввести спецсимволы и отправить заявку	!"№;%:?*(/
Ввести большое колличество слов и отправить заявку	1000 символов
	
Поле ввода "Number"	
Ввести 11 цифр	89119971293
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести текстовые символы: кирилицы	абвгд
Ввести текстовые символы: латиницы 	abcde
Ввести спецсимволы 	!@#$%^&*(
Разграничиваются ли символы 	7-911-997-12-93
Ввести без знака +	79119971293
Ввести 12 цифр	891199712934
Ввести 10 цифр	799999999999
Ввести 1 цифру	1
Ввести комбинацию цифры буквы и символы 	8911А0=@2№3
	
Поисковая строка "Find contacts by name"	
Ввести имя 	Sergei
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы и латиницы и отправить заявку	Ж, J
Ввести имя в верхнем регистре и отправить заявку	SERGEI
Ввести  двойное имя и отправить заявку	Анна-Мария
Ввести имя через пробел и отправить заявку	Анна Мария
Ввести комбинированное имя и отправить заявку	Анна-Maria
Ввести имя на кирилице и отправить заявку	Сергей
Ввести цифры и отправить заявку	123456789
Ввести спецсимволы и отправить заявку	!"№;%:?*(/
Ввести большое колличество слов и отправить заявку	1000 символов
