
Проверка	Комментарий

Поле ввода "Фамилия"
 	
Ввести фамилию	 -Акопян
Ничего не вводить	
Ввести пробел	-Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы  и отправить заявку	-Ж
Ввести 1 букву  латиницы и отправить заявку	 -J
Ввести фимилию в верхнем регистре и отправить заявку	-АКОПЯН
Ввести  двойную фамилию и отправить заявку	-Смит-Шустер
Ввести фамилию через пробел и отправить заявку	-Ако пян
Ввести комбинированную фамилию и отправить заявку	-Жураvlev
Ввести фамилию на латинице и отправить заявку	-Zhukov
Ввести цифры и отправить заявку	-123456789
Ввести спецсимволы и отправить заявку	-!"№;%:?*(/
Длинная фамилия	АРХИНЕВОЛОКОТОЧЕРЕПОПИНДРИКОВСКАЯ
Ввести большое колличество слов и отправить заявку	-1000 символов

Поле ввода "Имя" (обязательное поле)	
Ввести имя 	-Сергей
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы и латиницы и отправить заявку	-Ж, J
Ввести имя в верхнем регистре и отправить заявку	-SERGEI
Ввести  двойное имя и отправить заявку	-Анна-Мария
Ввести имя через пробел и отправить заявку	-Мих аил
Ввести комбинированное имя и отправить заявку	-Gennадий
Ввести цифры и отправить заявку	-123456789
Ввести спецсимволы и отправить заявку	-!"№;%:?*(/
Уменьшительное 	-Аннушка
Длинное имя	-Аполлинария
Короткое имя	-Ян
Редкое имя	-Клавдия/Ярополк
Непонятный род	-Саша
Проверить род имени м/ж	-Александр(а)
Ввести большое колличество слов и отправить заявку	-1000 символов

Поле ввода "Отчество"	
Ввести отчество	-Васильевич
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести 1 букву кирилицы и латиницы и отправить заявку	-Ж, J
Ввести отчество в верхнем регистре и отправить заявку	-ВАСИЛЬЕВИЧ
Ввести  через пробел и отправить заявку	-Васи льевич
Ввести комбинированное отчество и отправить заявку	-Vasiльевич
Ввести  на латинице и отправить заявку	-Vasil`evich
Ввести цифры и отправить заявку	-123456789
Ввести спецсимволы и отправить заявку	-!"№;%:?*(/
Редкое имя	Христосович
Ввести большое колличество слов и отправить заявку	-1000 символов

DropDown "Пол"	
Мужской	Ввести мужское имя
Мужской	Ввести женское имя
Женский	Ввести мужское имя
Женский	Ввести женское имя

Дата Рождения	
Выбрать валидную дату 18+	
Выбрать дату 17 лет	
Выбрать 19 лет	
Выбрать 98 лет	
Выбрать 99 лет	
Выбрать 100 лет	
Выбрать Год который еще не наступил	2027 например
Не выбирать дату
	
Поле ввода "Телефон"	
Ввести 11 цифр	89119971293
Ничего не вводить	
Ввести пробел	Клавиша "Space" на клавиатуре
Ввести текстовые символы: кирилицы	абвгд
Ввести текстовые символы: латиницы 	abcde
Ввести спецсимволы 	!@#$%^&*(
Разграничиваются ли символы 	7-911-997-12-93
Ввести без знака +	79119971293
Ввести 12 цифр	891199712934
Ввести 10 цифр	799999999999
Ввести 1 цифру	1
Ввести комбинацию цифры буквы и символы 	8911А0=@2№3

Поле ввода "Email" (обязательное поле)	
Ввести валидный адрес 	order22@mail.ru
Ничего не вводить	
Ввести пробел	Клавиша на клавиатуре
Ввести валадный адрес на кирилице	заказ22@майл.ру
Ввести комбинированный Email	order22@майл.ru

Имя Email	
Не вводить только имя	@mail.ru
Ввести пробел вместо имени	 @mail.ru
Ввести 1 букву на латинице	J@mail.ru
Ввести имя через пробел	or der22@mail.ru
Ввести только цифры	22@mail.ru
Ввести спецсимволы 	!"№№;;%:mail.ru
Ввести имя на кирилице	заказ22@mail.ru
Ввести большое количество символов	1000 символов

@	
Ничего не вводить	order22mail.ru
Ввести пробел	Клавиша на клавиатуре
Ввести два символа @@	order22@@mail.ru

Хост	
Ничего не вводить	order22@ru
Ввести пробел	order22@ ru
Ввести 1 букву на кирилице	order22@ж.ru
Ввести 1 букву на латинице	order22@m.ru
Ввести хост через пробел	order22@ma il.ru
Ввести только цифры	order22@12345678.ru
Ввести только спецсимволы	order22@!#$%^&*(.ru

Домен	
Ничего не вводить	order22@mail.
Ввести пробел	order22@mail  .ru
Ввести 1 букву на латинице	order22@mail.r
Ввести домен два раза	order22@mail.ru.ru
Ввести только цифры	order22@mail.12345
Ввести спецсимволы 	order22@mail.!"№;%
Ввести без точки	order22@mailru
Ввести на кирилице	order22@mail.ру

Поле ввода "Пароль"	
Ввести пароль 	Montenegro20
Ничего не вводить	
Ввести пробел	Клавиша на клавиатуре
Ввести валидный пароль через пробел	Monte negro20
Ввести 5 символов 	Mon12
Ввести 6 символов 	Mont12
Ввести 7 символов 	Montene12
Ввести только буквы латиницы	Montenegro
Ввести только буквы кирилицы	Монтенегро
Ввести только цифры 	12345678
Ввести только спецсимволы	!@#$%^&*()
Ввести комбинацию латиница + кирилица	Monteнегро2024

Чек-бокс "Обработка персональных данных"	
Поставить галочку	
Не ставить галочку
	
Кнопка "Создать аккаунт"	
Нажать кнопку	Аккаунт создан
